id,domain,domain_description,sql_complexity,sql_complexity_description,sql_task_type,sql_task_type_description,sql_prompt,sql_context,sql,sql_explanation
5282,oceans,"Ocean data on marine conservation, ocean acidification, deep-sea exploration, and maritime safety.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights",How many deep-sea expeditions have been conducted by each country in the Atlantic and Indian oceans?,"CREATE TABLE deep_sea_expeditions (country TEXT, year INT, ocean TEXT); INSERT INTO deep_sea_expeditions (country, year, ocean) VALUES ('USA', 2010, 'Atlantic'), ('Brazil', 2011, 'Atlantic'), ('South Africa', 2012, 'Atlantic'), ('India', 2013, 'Atlantic'), ('France', 2014, 'Atlantic'), ('UK', 2015, 'Atlantic'), ('Germany', 2016, 'Atlantic'), ('Norway', 2017, 'Atlantic'), ('Spain', 2018, 'Atlantic'), ('Italy', 2019, 'Atlantic'), ('USA', 2010, 'Indian'), ('China', 2011, 'Indian'), ('Japan', 2012, 'Indian'), ('Indonesia', 2013, 'Indian'), ('Australia', 2014, 'Indian'), ('Canada', 2015, 'Indian'), ('Russia', 2016, 'Indian'), ('Malaysia', 2017, 'Indian'), ('Thailand', 2018, 'Indian'), ('Philippines', 2019, 'Indian');","SELECT country, COUNT(*) FROM deep_sea_expeditions WHERE ocean IN ('Atlantic', 'Indian') GROUP BY country;","This SQL query groups the rows in the deep_sea_expeditions table by the country column for rows where the ocean column is either 'Atlantic' or 'Indian' using the GROUP BY clause. For each group, the query calculates the count of rows using the COUNT function."
5283,civil engineering,"Infrastructure development data, engineering design standards, public works project information, and resilience metrics.",aggregation,"aggregation functions (COUNT, SUM, AVG, MIN, MAX, etc.), and HAVING clause",analytics and reporting,"generating reports, dashboards, and analytical insights","Calculate the average annual rainfall and total annual maintenance costs for bridges in the 'Northwest' region, for the past 5 years.","CREATE TABLE BridgeRainfall (    BridgeID INT,    Year INT,    Rainfall DECIMAL(10, 2),    MaintenanceCost DECIMAL(10, 2));","SELECT AVG(Rainfall) as AvgAnnualRainfall, SUM(MaintenanceCost) as TotalAnnualMaintenanceCost  FROM BridgeRainfall  WHERE Region = 'Northwest' AND Year >= YEAR(CURRENT_DATE) - 5 GROUP BY Year;","The SQL query filters the data for the 'Northwest' region and the past 5 years. It then groups the data by the 'Year' column, and calculates the average of the 'Rainfall' column and the sum of the 'MaintenanceCost' column for each group. The result is a list of average annual rainfall and total annual maintenance costs for bridges in the 'Northwest' region, for the past 5 years."
5284,aquaculture,"Aquatic farming data, fish stock management, ocean health metrics, and sustainable seafood trends.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Insert a new record for a new species 'Kob' into the fish_species table,"CREATE TABLE fish_species (species_id INT, species VARCHAR(50), conservation_status VARCHAR(50));","INSERT INTO fish_species (species_id, species, conservation_status) VALUES (10, 'Kob', 'Least Concern');",This query inserts a new record for the species 'Kob' into the fish_species table with a conservation_status of 'Least Concern'.
5285,healthcare,"Healthcare data on mental health parity, cultural competency, health equity metrics, and community health workers.",window functions,"window functions (e.g., ROW_NUMBER, LEAD, LAG, RANk, NTILE, PERCENT_RANK, etc.) with partitioning and ordering",data manipulation,"inserting, updating, or deleting records",Delete the record of the community health worker with the lowest Age in 'AB' province.,"CREATE TABLE CommunityHealthWorkersCanada (WorkerID INT, Age INT, Gender VARCHAR(1), Province VARCHAR(2)); INSERT INTO CommunityHealthWorkersCanada (WorkerID, Age, Gender, Province) VALUES (1, 35, 'F', 'ON'), (2, 40, 'M', 'QC'), (3, 45, 'F', 'BC'), (4, 50, 'M', 'AB');","DELETE FROM CommunityHealthWorkersCanada WHERE WorkerID = (SELECT WorkerID FROM (SELECT WorkerID, ROW_NUMBER() OVER (PARTITION BY Province ORDER BY Age ASC) rn FROM CommunityHealthWorkersCanada) t WHERE t.rn = 1 AND t.Province = 'AB');","The SQL query uses a correlated subquery and the ROW_NUMBER() window function to identify the community health worker with the lowest Age in the 'AB' province, and then deletes the corresponding record using the DELETE statement with a subquery that matches the WorkerID of the worker with the lowest Age."
5286,government services,"Public service delivery, budget allocation, citizen feedback, and policy impact.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Who provided feedback on the Housing policy?,"CREATE TABLE Policy_Feedback (Feedback_ID INT PRIMARY KEY, Council_ID INT, Policy_Area VARCHAR(30), Feedback VARCHAR(100)); INSERT INTO Policy_Feedback (Feedback_ID, Council_ID, Policy_Area, Feedback) VALUES (1, 1, 'Housing', 'More affordable housing needed'), (2, 2, 'Transportation', 'Improve public transportation'), (3, 3, 'Education', 'Increase funding for schools');",SELECT Council_ID FROM Policy_Feedback WHERE Policy_Area = 'Housing';,This query selects the Council_ID of all feedbacks related to the Housing policy.
5287,wildlife conservation,"Animal population data, habitat preservation efforts, and community education programs.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights",List all animal populations in African community education programs,"CREATE TABLE community_education_programs (id INT, program_name VARCHAR(255), location VARCHAR(255)); CREATE TABLE animal_populations (id INT, program_id INT, animal_type VARCHAR(255), population INT); INSERT INTO community_education_programs (id, program_name, location) VALUES (1, 'African Wildlife Initiative', 'Africa'), (2, 'Lion Guardians', 'Kenya'), (3, 'Gorilla Doctors', 'Rwanda'); INSERT INTO animal_populations (id, program_id, animal_type, population) VALUES (1, 1, 'Lion', 300), (2, 1, 'Elephant', 500), (3, 2, 'Lion', 200), (4, 3, 'Gorilla', 100);","SELECT community_education_programs.program_name, animal_populations.animal_type, animal_populations.population FROM community_education_programs INNER JOIN animal_populations ON community_education_programs.id = animal_populations.program_id WHERE community_education_programs.location = 'Africa';",This query lists all animal populations in African community education programs. It joins the 'community_education_programs' table with the 'animal_populations' table on the program_id field. It then filters the results to only include rows where the location is 'Africa'.
5288,gaming industry,"Player analytics, game performance metrics, eSports data, and virtual reality trends.",subqueries,"subqueries, including correlated and nested subqueries",analytics and reporting,"generating reports, dashboards, and analytical insights",Calculate the median score of user 7 for all games played,"CREATE TABLE game_scores (user_id INT, game_name VARCHAR(10), score INT); INSERT INTO game_scores (user_id, game_name, score) VALUES (7, 'B', 200), (7, 'C', 150), (7, 'A', 300), (7, 'D', 250), (7, 'D', 350);",SELECT AVG(score) FROM (SELECT score FROM game_scores WHERE user_id = 7 ORDER BY score LIMIT 2 OFFSET 2) AS median_scores;,This query calculates the median score where the user_id is 7 by finding the average score of the middle two records after sorting scores in ascending order.
5289,manufacturing,"Detailed records on ethical manufacturing, circular economy, workforce development, and industry 4.0.",single join,"only one join (specify inner, outer, cross)",analytics and reporting,"generating reports, dashboards, and analytical insights","List the machine IDs, types, and maintenance schedules for all machines in factories with unethical labor practices.","CREATE TABLE machines (machine_id INT, type TEXT, schedule TEXT); CREATE TABLE factories (factory_id INT, practices TEXT);","SELECT machines.machine_id, machines.type, machines.schedule FROM machines INNER JOIN factories ON machines.factory_id = factories.factory_id WHERE factories.practices = 'unethical';","This query uses an inner join to combine the machines and factories tables based on the factory_id column. It then filters for rows where the practices column in the factories table is equal to 'unethical'. The final result is a table with the machine_id, type, and schedule columns from the machines table for all machines in factories with unethical labor practices."
5290,fitness industry,"Workout data, membership demographics, wearable technology metrics, and wellness trends.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",Count the number of sessions longer than 60 minutes for users in the Western US?,"CREATE TABLE sessions (id INT, user_id INT, duration INT, region VARCHAR(10)); INSERT INTO sessions (id, user_id, duration, region) VALUES (1, 1, 45, 'West'), (2, 2, 75, 'East'), (3, 3, 62, 'Midwest'), (4, 1, 70, 'West'), (5, 2, 80, 'East');",SELECT COUNT(*) FROM sessions WHERE duration > 60 AND region = 'West';,"This query filters the sessions table for sessions longer than 60 minutes and in the Western US, and then counts the number of matching sessions."
5291,cosmetics,"Consumer preference data, ingredient sourcing information, product safety records, and cruelty-free certification metrics.",basic SQL,basic SQL with a simple select statement,data manipulation,"inserting, updating, or deleting records",Delete the product with ID 2,"CREATE TABLE products (id INT, name VARCHAR(255), category VARCHAR(255), price DECIMAL(10, 2)); INSERT INTO products (id, name, category, price) VALUES (1, 'Nourishing Face Cream', 'Organic', 25.99), (2, 'Revitalizing Serum', 'Natural', 34.99), (3, 'Soothing Eye Cream', 'Organic', 19.99);",DELETE FROM products WHERE id = 2;,This SQL query deletes the product with ID 2 by using the DELETE clause and filtering for the correct row with the WHERE clause.
5292,ethical fashion,"Extensive data on sustainable materials, fair labor practices, circular economy, and consumer awareness in ethical fashion.",basic SQL,basic SQL with a simple select statement,analytics and reporting,"generating reports, dashboards, and analytical insights",How many fair trade certified factories are there in Vietnam?,"CREATE TABLE FairTradeCertification (factory VARCHAR(50), certification VARCHAR(50)); INSERT INTO FairTradeCertification VALUES ('Factory1', 'Fair Trade'), ('Factory2', 'Not Certified'), ('Factory3', 'Fair Trade'), ('Factory4', 'Not Certified');",SELECT COUNT(*) FROM FairTradeCertification WHERE certification = 'Fair Trade';,"This query counts the number of fair trade certified factories in Vietnam. It does this by using the COUNT function, which returns the number of rows that match a specified condition. In this case, it's used with the WHERE clause to filter rows where the certification is fair trade."
